source_id,dataset_id,role_id,version,pin,retrieved_on,bytes,sha256,source_page_url,download_url,license,license_url,dependencies,local_path
commons_ohienko_1988_scan,ohienko_1988_print_scan,ukrainian_print_reference,MediaWiki file timestamp 2014-07-10T17:11:34Z; 1538 pages,"{""type"": ""mediawiki_file_sha1"", ""value"": ""8995dec8cfd20c212dc48e91868f115d3b8d17cc""}",2026-08-01,83637482,0f10b27860d3a902ea9a1b5d494937c4d11b90c57b5ed7f43e0f76462aa0ce34,https://commons.wikimedia.org/wiki/File:Ivan_Ohienko_Bible.djvu,https://upload.wikimedia.org/wikipedia/commons/f/f9/Ivan_Ohienko_Bible.djvu,Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),https://commons.wikimedia.org/wiki/File:Ivan_Ohienko_Bible.djvu#Licensing,[],../../source_cache/commons_ohienko_1988.djvu
crosswire_kjv_3_1,crosswire_kjv,classic_strong_audit_control,3.1 (2023-07-19); commit d490be7e34762deb2c76cb2c1306d4808e27890d,"{""type"": ""git_commit"", ""value"": ""d490be7e34762deb2c76cb2c1306d4808e27890d""}",2026-08-01,28630975,d5114fc1ab17b1e141ff5c035ef3a4354437fd24b4b8ee34f4c925915c0374ef,https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV,https://gitlab.com/crosswire-bible-society/kjv/-/raw/d490be7e34762deb2c76cb2c1306d4808e27890d/kjvfull.xml,GNU General Public License / CrossWire general public use grant,https://crosswire.org/sword/modules/ModInfo.jsp?modName=KJV,[],../../source_cache/crosswire_kjvfull.xml
internet_archive_ohienko_1988_scan,ohienko_1988_dependent_scan_control,ukrainian_dependent_scan_control,Internet Archive item BibleOhienko; file mtime 1404934060; public date 2014-07-08,"{""md5"": ""29ca8fc8bf1593a50511be9d526ed291"", ""type"": ""internet_archive_file_sha1"", ""value"": ""baf96568afa4c964f692cbf6509f50d69fbf4289""}",2026-08-01,41818741,39d34d366554a2c798e180d0fce05a4ca11fc8c10901c174848e37f30468cee8,https://archive.org/details/BibleOhienko,https://archive.org/download/BibleOhienko/Ohienko_Bible.djvu,Creative Commons Attribution-ShareAlike 4.0 International (inherited exact-edition permission),https://commons.wikimedia.org/wiki/File:Ivan_Ohienko_Bible.djvu#Licensing,"[{""relation"": ""same_edition_derivative_control_not_independent"", ""source_id"": ""commons_ohienko_1988_scan""}]",../../source_cache/internet_archive_ohienko_1988.djvu
openscriptures_oshb_v2_2,openscriptures_oshb,dependent_ot_strong_crosscheck,tag v.2.2; commit 6a5db284c715c18b239422e57bb89684e6a19f00,"{""tag"": ""v.2.2"", ""type"": ""git_tag_commit"", ""value"": ""6a5db284c715c18b239422e57bb89684e6a19f00""}",2026-08-01,20869248,dac2d0325c59f6cd22839f2ef6345544a85b50c9d657788672e7638fa11abecb,https://github.com/openscriptures/morphhb/tree/6a5db284c715c18b239422e57bb89684e6a19f00,https://codeload.github.com/openscriptures/morphhb/zip/6a5db284c715c18b239422e57bb89684e6a19f00,WLC text Public Domain; lemma and morphology CC BY 4.0,https://github.com/openscriptures/morphhb/blob/6a5db284c715c18b239422e57bb89684e6a19f00/LICENSE.md,"[{""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""step_tahot_gen_deu""}, {""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""step_tahot_jos_est""}, {""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""step_tahot_job_sng""}, {""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""step_tahot_isa_mal""}]",../../source_cache/openscriptures_morphhb_v2_2.zip
step_tagnt_act_rev,stepbible_tahot_tagnt,primary_nt_strong_morphology,STEPBible-Data commit b9dcc831a98e0fd6f3c7e122be9ff68377c310c0,"{""type"": ""git_commit"", ""value"": ""b9dcc831a98e0fd6f3c7e122be9ff68377c310c0""}",2026-08-01,15939932,524e32375361e6d3fa2f7ef00b87605fdc4317a762f395651a05fdc31ad031b7,https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAGNT%20Act-Rev%20-%20Translators%20Amalgamated%20Greek%20NT%20-%20STEPBible.org%20CC-BY.txt,https://raw.githubusercontent.com/STEPBible/STEPBible-Data/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAGNT%20Act-Rev%20-%20Translators%20Amalgamated%20Greek%20NT%20-%20STEPBible.org%20CC-BY.txt,Creative Commons Attribution 4.0 International (CC BY 4.0),https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/README.md#stepbible-data-repository--cc-by-40,[],../../source_cache/step_tagnt_act_rev.txt
step_tagnt_mat_jhn,stepbible_tahot_tagnt,primary_nt_strong_morphology,STEPBible-Data commit b9dcc831a98e0fd6f3c7e122be9ff68377c310c0,"{""type"": ""git_commit"", ""value"": ""b9dcc831a98e0fd6f3c7e122be9ff68377c310c0""}",2026-08-01,14189032,ab8eaaeb68e17a1dcfa34e1e9350358f22f03bc2a97244d848750ad81044bc8e,https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAGNT%20Mat-Jhn%20-%20Translators%20Amalgamated%20Greek%20NT%20-%20STEPBible.org%20CC-BY.txt,https://raw.githubusercontent.com/STEPBible/STEPBible-Data/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAGNT%20Mat-Jhn%20-%20Translators%20Amalgamated%20Greek%20NT%20-%20STEPBible.org%20CC-BY.txt,Creative Commons Attribution 4.0 International (CC BY 4.0),https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/README.md#stepbible-data-repository--cc-by-40,[],../../source_cache/step_tagnt_mat_jhn.txt
step_tahot_gen_deu,stepbible_tahot_tagnt,primary_ot_strong_morphology,STEPBible-Data commit b9dcc831a98e0fd6f3c7e122be9ff68377c310c0,"{""type"": ""git_commit"", ""value"": ""b9dcc831a98e0fd6f3c7e122be9ff68377c310c0""}",2026-08-01,18190455,e9b8546ee48fe0bfc57c3b70f5f40e98d96580e803526d19026224e31753368b,https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Gen-Deu%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,https://raw.githubusercontent.com/STEPBible/STEPBible-Data/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Gen-Deu%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,Creative Commons Attribution 4.0 International (CC BY 4.0),https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/README.md#stepbible-data-repository--cc-by-40,"[{""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""openscriptures_oshb_v2_2""}]",../../source_cache/step_tahot_gen_deu.txt
step_tahot_isa_mal,stepbible_tahot_tagnt,primary_ot_strong_morphology,STEPBible-Data commit b9dcc831a98e0fd6f3c7e122be9ff68377c310c0,"{""type"": ""git_commit"", ""value"": ""b9dcc831a98e0fd6f3c7e122be9ff68377c310c0""}",2026-08-01,17977518,f3ded203d2a74d6368932c97ae550d1d0754b271af491dc0dedf36fe3ba0bcc5,https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Isa-Mal%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,https://raw.githubusercontent.com/STEPBible/STEPBible-Data/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Isa-Mal%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,Creative Commons Attribution 4.0 International (CC BY 4.0),https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/README.md#stepbible-data-repository--cc-by-40,"[{""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""openscriptures_oshb_v2_2""}]",../../source_cache/step_tahot_isa_mal.txt
step_tahot_job_sng,stepbible_tahot_tagnt,primary_ot_strong_morphology,STEPBible-Data commit b9dcc831a98e0fd6f3c7e122be9ff68377c310c0,"{""type"": ""git_commit"", ""value"": ""b9dcc831a98e0fd6f3c7e122be9ff68377c310c0""}",2026-08-01,9540133,84e118a97e5725e3847cdfdd593873513021c790c63cc91a0d41fca2b5db2ed5,https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Job-Sng%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,https://raw.githubusercontent.com/STEPBible/STEPBible-Data/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Job-Sng%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,Creative Commons Attribution 4.0 International (CC BY 4.0),https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/README.md#stepbible-data-repository--cc-by-40,"[{""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""openscriptures_oshb_v2_2""}]",../../source_cache/step_tahot_job_sng.txt
step_tahot_jos_est,stepbible_tahot_tagnt,primary_ot_strong_morphology,STEPBible-Data commit b9dcc831a98e0fd6f3c7e122be9ff68377c310c0,"{""type"": ""git_commit"", ""value"": ""b9dcc831a98e0fd6f3c7e122be9ff68377c310c0""}",2026-08-01,24500317,195fee1dc3653bab33701f170734eb894ed647c10cd08cc61749375fe8b73775,https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Jos-Est%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,https://raw.githubusercontent.com/STEPBible/STEPBible-Data/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/Translators%20Amalgamated%20OT%2BNT/TAHOT%20Jos-Est%20-%20Translators%20Amalgamated%20Hebrew%20OT%20-%20STEPBible.org%20CC%20BY.txt,Creative Commons Attribution 4.0 International (CC BY 4.0),https://github.com/STEPBible/STEPBible-Data/blob/b9dcc831a98e0fd6f3c7e122be9ff68377c310c0/README.md#stepbible-data-repository--cc-by-40,"[{""relation"": ""shared_WLC_OpenScriptures_lineage_not_independent"", ""source_id"": ""openscriptures_oshb_v2_2""}]",../../source_cache/step_tahot_jos_est.txt
