rule_id,type,operation,source_refs,target_refs,decision_status,confidence
uk5-1037cbc5098f0fff2abc,chapter_boundary_or_shift,1:1,Gen.32.1,Gen.31.55,accepted,high
uk5-a9a229c57c8241b40bbd,verse_shift;neighbor_better_manual_review,1:1,Gen.32.2,Gen.32.1,accepted,high
uk5-04a26adc97df99a46278,verse_shift;neighbor_better_manual_review,1:1,Gen.32.3,Gen.32.2,accepted,high
uk5-c16915ead27a6c93e486,verse_shift;neighbor_better_manual_review,1:1,Gen.32.4,Gen.32.3,accepted,high
uk5-6b29ba5510ecc06fcaef,verse_shift;neighbor_better_manual_review,1:1,Gen.32.5,Gen.32.4,accepted,high
uk5-0656431e704151e016b9,verse_shift;neighbor_better_manual_review,1:1,Gen.32.6,Gen.32.5,accepted,high
uk5-0fbfca7b6c76b511c12f,verse_shift;neighbor_better_manual_review,1:1,Gen.32.7,Gen.32.6,accepted,high
uk5-772bdc4df9382bb9fd85,verse_shift;neighbor_better_manual_review,1:1,Gen.32.8,Gen.32.7,accepted,high
uk5-88be264821d5ca69a012,verse_shift;neighbor_better_manual_review,1:1,Gen.32.9,Gen.32.8,accepted,high
uk5-c90cdcf542ca2b80bc1e,verse_shift;neighbor_better_manual_review,1:1,Gen.32.10,Gen.32.9,accepted,high
uk5-13fc35fb37b90ab62704,verse_shift;neighbor_better_manual_review,1:1,Gen.32.11,Gen.32.10,accepted,high
uk5-98c49682fe9fe115184e,verse_shift;neighbor_better_manual_review,1:1,Gen.32.12,Gen.32.11,accepted,high
uk5-9a898e49818928883029,verse_shift;neighbor_better_manual_review,1:1,Gen.32.13,Gen.32.12,accepted,high
uk5-8d2dc8dd0e22a6f167fb,verse_shift;neighbor_better_manual_review,1:1,Gen.32.14,Gen.32.13,accepted,high
uk5-57e4dcd6646e67373a85,verse_shift;neighbor_better_manual_review,1:1,Gen.32.15,Gen.32.14,accepted,high
uk5-9c9ddc81cf7a20c17b80,verse_shift;neighbor_better_manual_review,1:1,Gen.32.16,Gen.32.15,accepted,high
uk5-8bace59d2a4c31506eb8,verse_shift;neighbor_better_manual_review,1:1,Gen.32.17,Gen.32.16,accepted,high
uk5-f214891844290f87e0ac,verse_shift;neighbor_better_manual_review,1:1,Gen.32.18,Gen.32.17,accepted,high
uk5-46d7641bf94960a7aac7,verse_shift;neighbor_better_manual_review,1:1,Gen.32.19,Gen.32.18,accepted,high
uk5-c75e4c61442d9cf99377,verse_shift;neighbor_better_manual_review,1:1,Gen.32.20,Gen.32.19,accepted,high
uk5-13b1ea8b7629ea5d04cb,verse_shift;neighbor_better_manual_review,1:1,Gen.32.21,Gen.32.20,accepted,high
uk5-e6e98bb2c23aa13f68f2,verse_shift;neighbor_better_manual_review,1:1,Gen.32.22,Gen.32.21,accepted,high
uk5-3bfe46247263450dede2,verse_shift;neighbor_better_manual_review,1:1,Gen.32.23,Gen.32.22,accepted,high
uk5-fb672bbc03752634637e,verse_shift;neighbor_better_manual_review,1:1,Gen.32.24,Gen.32.23,accepted,high
uk5-62fd0021342797c3a767,verse_shift;neighbor_better_manual_review,1:1,Gen.32.25,Gen.32.24,accepted,high
uk5-ae3d29e5c19274a2561a,verse_shift;neighbor_better_manual_review,1:1,Gen.32.26,Gen.32.25,accepted,high
uk5-eeef68b3f5ea89a5d83c,verse_shift;neighbor_better_manual_review,1:1,Gen.32.27,Gen.32.26,accepted,high
uk5-b25d44c9eeac1039f080,verse_shift;neighbor_better_manual_review,1:1,Gen.32.28,Gen.32.27,accepted,high
uk5-424040ead1967aa64432,verse_shift;neighbor_better_manual_review,1:1,Gen.32.29,Gen.32.28,accepted,high
uk5-bc32fa5c157f9d5d6c6a,verse_shift;neighbor_better_manual_review,1:1,Gen.32.30,Gen.32.29,accepted,high
uk5-db5af2856c39ab8b0298,verse_shift;neighbor_better_manual_review,1:1,Gen.32.31,Gen.32.30,accepted,high
uk5-78e3d4bf2afeb41ec3bf,verse_shift;neighbor_better_manual_review,1:1,Gen.32.32,Gen.32.31,accepted,high
uk5-36433223157f65b5cdb6,verse_shift;neighbor_better_manual_review,1:1,Gen.32.33,Gen.32.32,accepted,high
uk5-771d8b90998b9783d92a,chapter_boundary_or_shift,1:1,Exod.7.26,Exod.8.1,accepted,high
uk5-d4c81680d033fbce8357,chapter_boundary_or_shift,1:1,Exod.7.27,Exod.8.2,accepted,high
uk5-9b5f8e334b02457f4724,chapter_boundary_or_shift,1:1,Exod.7.28,Exod.8.3,accepted,high
uk5-691d395d6c49a09ca99a,chapter_boundary_or_shift,1:1,Exod.7.29,Exod.8.4,accepted,high
uk5-c319cbd6845e1effd819,verse_shift,1:1,Exod.8.1,Exod.8.5,accepted,high
uk5-c1ce7d3b9d77e0b3c6e6,verse_shift,1:1,Exod.8.2,Exod.8.6,accepted,high
uk5-44d951524cf6cd98de27,verse_shift,1:1,Exod.8.3,Exod.8.7,accepted,high
uk5-75a342ad7aca78628023,verse_shift,1:1,Exod.8.4,Exod.8.8,accepted,high
uk5-c3dcff893c085a909bc6,verse_shift,1:1,Exod.8.5,Exod.8.9,accepted,high
uk5-d088675bcc347213ad11,verse_shift,1:1,Exod.8.6,Exod.8.10,accepted,high
uk5-c9c1b62d73d8c9d75634,verse_shift,1:1,Exod.8.7,Exod.8.11,accepted,high
uk5-4f9edad9819a8167e143,verse_shift,1:1,Exod.8.8,Exod.8.12,accepted,high
uk5-f3d7537c64efff602fdb,verse_shift,1:1,Exod.8.9,Exod.8.13,accepted,high
uk5-7a223a02ca0b83735965,verse_shift,1:1,Exod.8.10,Exod.8.14,accepted,high
uk5-343c83dd706fa266c42a,verse_shift,1:1,Exod.8.11,Exod.8.15,accepted,high
uk5-1cc24a894a35330ef977,verse_shift,1:1,Exod.8.12,Exod.8.16,accepted,high
uk5-69c1d135bd12f8ed6da5,verse_shift,1:1,Exod.8.13,Exod.8.17,accepted,high
uk5-5a932088eb78510a25ee,verse_shift,1:1,Exod.8.14,Exod.8.18,accepted,high
uk5-76778a46bdbb9aa24987,verse_shift,1:1,Exod.8.15,Exod.8.19,accepted,high
uk5-3317953f3a063fd08ab0,verse_shift,1:1,Exod.8.16,Exod.8.20,accepted,high
uk5-602011d9980b472ad370,verse_shift,1:1,Exod.8.17,Exod.8.21,accepted,high
uk5-e470e7bab9f251ce1292,verse_shift,1:1,Exod.8.18,Exod.8.22,accepted,high
uk5-655874ac11cf2dfd3edc,verse_shift,1:1,Exod.8.19,Exod.8.23,accepted,high
uk5-ba956120626bb79120db,verse_shift,1:1,Exod.8.20,Exod.8.24,accepted,high
uk5-e830328809fbb3decb32,verse_shift,1:1,Exod.8.21,Exod.8.25,accepted,high
uk5-39ced8c1bf081162af54,verse_shift,1:1,Exod.8.22,Exod.8.26,accepted,high
uk5-8d3adcf14e1f1dc7355c,verse_shift,1:1,Exod.8.23,Exod.8.27,accepted,high
uk5-128007cf9a196489118e,verse_shift,1:1,Exod.8.24,Exod.8.28,accepted,high
uk5-7d10e73bf9ca9cb12232,verse_shift,1:1,Exod.8.25,Exod.8.29,accepted,high
uk5-39472e6e783fee8b5c89,verse_shift,1:1,Exod.8.26,Exod.8.30,accepted,high
uk5-32bba79e13ac42205b3d,verse_shift,1:1,Exod.8.27,Exod.8.31,accepted,high
uk5-807721ab3710f52552c5,verse_shift,1:1,Exod.8.28,Exod.8.32,accepted,high
uk5-acb471e2e58df54ea7ed,chapter_boundary_or_shift;neighbor_better_manual_review,1:1,Exod.21.37,Exod.22.1,accepted,high
uk5-762d42e2f75936a7a574,verse_shift;neighbor_better_manual_review,1:1,Exod.22.1,Exod.22.2,accepted,high
uk5-b8860e0836a0ff277963,verse_shift;neighbor_better_manual_review,1:1,Exod.22.2,Exod.22.3,accepted,high
uk5-8404ca3c7792a0328825,verse_shift;neighbor_better_manual_review,1:1,Exod.22.3,Exod.22.4,accepted,high
uk5-b8624634813f895615f1,verse_shift;neighbor_better_manual_review,1:1,Exod.22.4,Exod.22.5,accepted,high
uk5-7299d29d83145ce3c50e,verse_shift;neighbor_better_manual_review,1:1,Exod.22.5,Exod.22.6,accepted,high
uk5-c663265bce1e64fc59c3,verse_shift;neighbor_better_manual_review,1:1,Exod.22.6,Exod.22.7,accepted,high
uk5-6dd8ce51cfb3dc39842d,verse_shift;neighbor_better_manual_review,1:1,Exod.22.7,Exod.22.8,accepted,high
uk5-3cd9e114e2a0100c19f8,verse_shift;neighbor_better_manual_review,1:1,Exod.22.8,Exod.22.9,accepted,high
uk5-d65c3d7cbeb0ec7441ad,verse_shift;neighbor_better_manual_review,1:1,Exod.22.9,Exod.22.10,accepted,high
uk5-d7c5395f71f087c3730d,verse_shift;neighbor_better_manual_review,1:1,Exod.22.10,Exod.22.11,accepted,high
uk5-312330925366f120ef7f,verse_shift;neighbor_better_manual_review,1:1,Exod.22.11,Exod.22.12,accepted,high
uk5-27f3d5e688b41ef7ba88,verse_shift;neighbor_better_manual_review,1:1,Exod.22.12,Exod.22.13,accepted,high
uk5-2854d2b9ea6c0f998c7b,verse_shift;neighbor_better_manual_review,1:1,Exod.22.13,Exod.22.14,accepted,high
uk5-b7cabb66062f21af09f7,verse_shift;neighbor_better_manual_review,1:1,Exod.22.14,Exod.22.15,accepted,high
uk5-135cd42959ef387fd2be,verse_shift;neighbor_better_manual_review,1:1,Exod.22.15,Exod.22.16,accepted,high
uk5-a6064ea0c9fa044227d7,verse_shift;neighbor_better_manual_review,1:1,Exod.22.16,Exod.22.17,accepted,high
uk5-7a90ab3bf18b83243556,verse_shift;neighbor_better_manual_review,1:1,Exod.22.17,Exod.22.18,accepted,high
uk5-e4450a10ca332a099bab,verse_shift;neighbor_better_manual_review,1:1,Exod.22.18,Exod.22.19,accepted,high
uk5-f708c9a3dc22fa07f41d,verse_shift;neighbor_better_manual_review,1:1,Exod.22.19,Exod.22.20,accepted,high
uk5-3c18e0ab621976cbbfe1,verse_shift;neighbor_better_manual_review,1:1,Exod.22.20,Exod.22.21,accepted,high
uk5-35c5113b9355b89ba2db,verse_shift;neighbor_better_manual_review,1:1,Exod.22.21,Exod.22.22,accepted,high
uk5-490543e26e8147de397e,verse_shift;neighbor_better_manual_review,1:1,Exod.22.22,Exod.22.23,accepted,high
uk5-d914c514416c2d5db9db,verse_shift;neighbor_better_manual_review,1:1,Exod.22.23,Exod.22.24,accepted,high
uk5-2b530bf10baae573b520,verse_shift;neighbor_better_manual_review,1:1,Exod.22.24,Exod.22.25,accepted,high
uk5-b0dffee80e0f877c4354,verse_shift;neighbor_better_manual_review,1:1,Exod.22.25,Exod.22.26,accepted,high
uk5-db74747c0026449edf83,verse_shift;neighbor_better_manual_review,1:1,Exod.22.26,Exod.22.27,accepted,high
uk5-e208db09c23a0e63c12a,verse_shift;neighbor_better_manual_review,1:1,Exod.22.27,Exod.22.28,accepted,high
uk5-02a2d5afe0eea242118f,verse_shift;neighbor_better_manual_review,1:1,Exod.22.28,Exod.22.29,accepted,high
uk5-401df75b6ee24ddfad80,verse_shift;neighbor_better_manual_review,1:1,Exod.22.29,Exod.22.30,accepted,high
uk5-0c8297aa09fffd7c3b78,verse_shift,1:1,Exod.22.30,Exod.22.31,accepted,high
uk5-fd5152bd4b5aadd40f6e,chapter_boundary_or_shift,1:1,Lev.5.20,Lev.6.1,accepted,high
uk5-efec2c3ee96b75938c5a,chapter_boundary_or_shift,1:1,Lev.5.21,Lev.6.2,accepted,high
uk5-567c5a4d2e7d6cafe6e7,chapter_boundary_or_shift,1:1,Lev.5.22,Lev.6.3,accepted,high
uk5-563e770d67159f2b9e75,chapter_boundary_or_shift,1:1,Lev.5.23,Lev.6.4,accepted,high
uk5-37901222b03e0fe154fb,chapter_boundary_or_shift,1:1,Lev.5.24,Lev.6.5,accepted,high
uk5-28a2932ed0a015394a69,chapter_boundary_or_shift,1:1,Lev.5.25,Lev.6.6,accepted,high
uk5-c110512a003ef12fa3a5,chapter_boundary_or_shift,1:1,Lev.5.26,Lev.6.7,accepted,high
uk5-0e9063fe4fc1cfd3f499,verse_shift,1:1,Lev.6.1,Lev.6.8,accepted,high
uk5-e0fc5c787b2f1b90f776,verse_shift,1:1,Lev.6.2,Lev.6.9,accepted,high
uk5-065df71d5923d92e48cc,verse_shift,1:1,Lev.6.3,Lev.6.10,accepted,high
uk5-6f4ddca99fe600438ef7,verse_shift,1:1,Lev.6.4,Lev.6.11,accepted,high
uk5-b9e6ffd701aa9c55dea1,verse_shift,1:1,Lev.6.5,Lev.6.12,accepted,high
uk5-901dc200fa31355fb10a,verse_shift,1:1,Lev.6.6,Lev.6.13,accepted,high
uk5-8f44ef7ae70c33999665,verse_shift,1:1,Lev.6.7,Lev.6.14,accepted,high
uk5-ecd8e2a895d031c0a4af,verse_shift,1:1,Lev.6.8,Lev.6.15,accepted,high
uk5-4360d83a96fbf68bee7f,verse_shift,1:1,Lev.6.9,Lev.6.16,accepted,high
uk5-638640a89b03ab8b497c,verse_shift,1:1,Lev.6.10,Lev.6.17,accepted,high
uk5-4be43c55b7ec955522a2,verse_shift,1:1,Lev.6.11,Lev.6.18,accepted,high
uk5-180d5911ed30d10936f4,verse_shift,1:1,Lev.6.12,Lev.6.19,accepted,high
uk5-0ac1a3a228a397f294fe,verse_shift,1:1,Lev.6.13,Lev.6.20,accepted,high
uk5-4edd731da3b6c302b01e,verse_shift,1:1,Lev.6.14,Lev.6.21,accepted,high
uk5-10ec13edc101714554d4,verse_shift,1:1,Lev.6.15,Lev.6.22,accepted,high
uk5-066d6a3d087cf0b809a4,verse_shift,1:1,Lev.6.16,Lev.6.23,accepted,high
uk5-e63719a52de79cecf8bd,verse_shift,1:1,Lev.6.17,Lev.6.24,accepted,high
uk5-902285bead06caa8aabf,verse_shift,1:1,Lev.6.18,Lev.6.25,accepted,high
uk5-a9d8eb16f420f4114188,verse_shift,1:1,Lev.6.19,Lev.6.26,accepted,high
uk5-c367ff31fbd49725ab94,verse_shift,1:1,Lev.6.20,Lev.6.27,accepted,high
uk5-856ff5a264ead793ac1b,verse_shift,1:1,Lev.6.21,Lev.6.28,accepted,high
uk5-2b948910f413307e9c8a,verse_shift,1:1,Lev.6.22,Lev.6.29,accepted,high
uk5-31202335dc76bad292b9,verse_shift,1:1,Lev.6.23,Lev.6.30,accepted,high
uk5-020789a643805a4d3913,chapter_boundary_or_shift,1:1,Num.17.1,Num.16.36,accepted,high
uk5-aeae5c26d9e818ab8f2d,chapter_boundary_or_shift,1:1,Num.17.2,Num.16.37,accepted,high
uk5-8d56d1b09e84475ec0a1,chapter_boundary_or_shift,1:1,Num.17.3,Num.16.38,accepted,high
uk5-8ccb95e1b3af60a7bb0f,chapter_boundary_or_shift,1:1,Num.17.4,Num.16.39,accepted,high
uk5-0154586beea710b33fda,chapter_boundary_or_shift,1:1,Num.17.5,Num.16.40,accepted,high
uk5-9e5a6dc317f61df96bcc,chapter_boundary_or_shift,1:1,Num.17.6,Num.16.41,accepted,high
uk5-62a17b1e7b377fc11fd3,chapter_boundary_or_shift,1:1,Num.17.7,Num.16.42,accepted,high
uk5-dd44e4f1fd2d4a7f0ed5,chapter_boundary_or_shift,1:1,Num.17.8,Num.16.43,accepted,high
uk5-b88c055b69fa9e75ff68,chapter_boundary_or_shift,1:1,Num.17.9,Num.16.44,accepted,high
uk5-f1148f1bb99879bcc022,chapter_boundary_or_shift,1:1,Num.17.10,Num.16.45,accepted,high
uk5-d8715f8b4a46eb878c4b,chapter_boundary_or_shift,1:1,Num.17.11,Num.16.46,accepted,high
uk5-df94009681e48c0485b4,chapter_boundary_or_shift,1:1,Num.17.12,Num.16.47,accepted,high
uk5-c68e360c67f1ba17d759,chapter_boundary_or_shift,1:1,Num.17.13,Num.16.48,accepted,high
uk5-530c551615a8c70f4939,chapter_boundary_or_shift,1:1,Num.17.14,Num.16.49,accepted,high
uk5-263507a391e8f201101b,chapter_boundary_or_shift,1:1,Num.17.15,Num.16.50,accepted,high
uk5-f87fe19b1130d94a7c54,verse_shift,1:1,Num.17.16,Num.17.1,accepted,high
uk5-6f33254742927964d6f1,verse_shift,1:1,Num.17.17,Num.17.2,accepted,high
uk5-cfb71065a758aa7e1422,verse_shift,1:1,Num.17.18,Num.17.3,accepted,high
uk5-a85ca449b09cb223b9cf,verse_shift,1:1,Num.17.19,Num.17.4,accepted,high
uk5-c6b2552fa8acd549aa1d,verse_shift,1:1,Num.17.20,Num.17.5,accepted,high
uk5-0ced413a1ce7731ae562,verse_shift,1:1,Num.17.21,Num.17.6,accepted,high
uk5-4be02de94bc1168d65f5,verse_shift,1:1,Num.17.22,Num.17.7,accepted,high
uk5-b256caaa5bb36ef8831d,verse_shift,1:1,Num.17.23,Num.17.8,accepted,high
uk5-4b59986a715473c17ae2,verse_shift,1:1,Num.17.24,Num.17.9,accepted,high
uk5-ac21b093c842123cc566,verse_shift,1:1,Num.17.25,Num.17.10,accepted,high
uk5-414d7bc9abe5316bf284,verse_shift,1:1,Num.17.26,Num.17.11,accepted,high
uk5-4778395c1703f3e2fc4b,verse_shift,1:1,Num.17.27,Num.17.12,accepted,high
uk5-4e3c00af89d34fd1ac42,verse_shift,1:1,Num.17.28,Num.17.13,accepted,high
uk5-d5a81ed1064ef40638df,merge;chapter_boundary_or_shift,merge,Num.25.19;Num.26.1,Num.26.1,accepted,high
uk5-11f4be1494aaae450c99,chapter_boundary_or_shift,1:1,Num.30.1,Num.29.40,accepted,high
uk5-a07d47e4e69ba0797690,verse_shift;neighbor_better_manual_review,1:1,Num.30.2,Num.30.1,accepted,high
uk5-42bca05c201513e122a5,verse_shift;neighbor_better_manual_review,1:1,Num.30.3,Num.30.2,accepted,high
uk5-4c04c1c342bd5e7a1d6c,verse_shift;neighbor_better_manual_review,1:1,Num.30.4,Num.30.3,accepted,high
uk5-51be4f839d8e9325828d,verse_shift;neighbor_better_manual_review,1:1,Num.30.5,Num.30.4,accepted,high
uk5-2a6bdc671f1c1cc6228d,verse_shift;neighbor_better_manual_review,1:1,Num.30.6,Num.30.5,accepted,high
uk5-f86bf18b66c0d2a0ab57,verse_shift;neighbor_better_manual_review,1:1,Num.30.7,Num.30.6,accepted,high
uk5-8e69664d94bf5374ddcd,verse_shift;neighbor_better_manual_review,1:1,Num.30.8,Num.30.7,accepted,high
uk5-d1ce8b5c2b179fee642f,verse_shift;neighbor_better_manual_review,1:1,Num.30.9,Num.30.8,accepted,high
uk5-1fb2558c32b88a794a81,verse_shift;neighbor_better_manual_review,1:1,Num.30.10,Num.30.9,accepted,high
uk5-7c6c9e3d5763066ce342,verse_shift;neighbor_better_manual_review,1:1,Num.30.11,Num.30.10,accepted,high
uk5-6fed2e60ad4cdacfb0d4,verse_shift;neighbor_better_manual_review,1:1,Num.30.12,Num.30.11,accepted,high
