type,severity,status,target_ref,rule_id,primary_source,primary_ref,secondary_ref,detail
strong_control_sequence_difference,medium,resolved_by_locked_runtime_authority_contract,1Chr.11.27,uk5-969d245ac7c5ecb68575,oshb,1Chr.11.27,1Chr.11.27,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,medium,resolved_by_locked_runtime_authority_contract,1Chr.11.36,uk5-aef30bb46e333f6459a8,oshb,1Chr.11.36,1Chr.11.36,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.11.9,uk5-32d6bc4029ed665f4b11,oshb,1Chr.11.9,1Chr.11.9,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.10,uk5-8d347ca9d57d8f4b13b0,oshb,1Chr.12.10,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.11,uk5-56928384b9a309187e22,oshb,1Chr.12.11,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.12,uk5-346fb1127be116045766,oshb,1Chr.12.12,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.13,uk5-2ae7672b45211708ec6e,oshb,1Chr.12.13,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.14,uk5-0042bc5c7c413acf7145,oshb,1Chr.12.14,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.15,uk5-edc1cd6efdfbb101ba04,oshb,1Chr.12.15,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.16,uk5-5f5596d3e6f1058c208d,oshb,1Chr.12.16,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.17,uk5-9bfa9f564e34c34c967d,oshb,1Chr.12.17,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.18,uk5-af2e7625b6e29c62877f,oshb,1Chr.12.18,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.19,uk5-0f6e044accb71460d18b,oshb,1Chr.12.19,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.20,uk5-33c2b25c0f44ef38aafb,oshb,1Chr.12.20,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.21,uk5-d624de9b7051ccd8a3c1,oshb,1Chr.12.21,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.22,uk5-9427e2dd28588e22e419,oshb,1Chr.12.22,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.23,uk5-27e15511bf77503b4bfa,oshb,1Chr.12.23,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.24,uk5-fcda18f571958084e984,oshb,1Chr.12.24,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.25,uk5-799bd2ad7af13c5a1650,oshb,1Chr.12.25,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.26,uk5-514d0f8b16ba8f35eff7,oshb,1Chr.12.26,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.27,uk5-28c23b4c2647e259367e,oshb,1Chr.12.27,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.28,uk5-038a6d638dac9bb81fb2,oshb,1Chr.12.28,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.29,uk5-7c3130fdefeb67a48ef7,oshb,1Chr.12.29,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.30,uk5-5d08adee7048c51d282d,oshb,1Chr.12.30,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.31,uk5-dab1d67984563b38f9f1,oshb,1Chr.12.31,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.32,uk5-30aa5da5c949c344fab0,oshb,1Chr.12.32,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.33,uk5-9ad25a8f80ffa9e97f0d,oshb,1Chr.12.33,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.34,uk5-0050ddadbae93efe3f7f,oshb,1Chr.12.34,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.35,uk5-f6052a702bbbcc7b7555,oshb,1Chr.12.35,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.36,uk5-85b6424b0f5e72321282,oshb,1Chr.12.36,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.37,uk5-51ae0e8cbbec6778eeea,oshb,1Chr.12.37,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.38,uk5-fec3d114c4fc0568e84d,oshb,1Chr.12.38,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.39,uk5-16900b9c962340479e88,oshb,1Chr.12.39,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.40,uk5-3bb12911bce9437c8f87,oshb,1Chr.12.40,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.5,uk5-67757b44285b7b2462d2,oshb,1Chr.12.5,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.6,uk5-90dc15b0a47eb05bed08,oshb,1Chr.12.6,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.7,uk5-7a677e910dfce9a16857,oshb,1Chr.12.7,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.8,uk5-cf36e2fe88c80d3f5900,oshb,1Chr.12.8,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,high,resolved_by_locked_runtime_authority_contract,1Chr.12.9,uk5-5024669c076d2683acbe,oshb,1Chr.12.9,,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.18.10,uk5-9c1cf8ed1d2b87706c30,oshb,1Chr.18.10,1Chr.18.10,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.18.3,uk5-9de7e94785ec8f28e5c6,oshb,1Chr.18.3,1Chr.18.3,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.18.9,uk5-81470230f07b495851ff,oshb,1Chr.18.9,1Chr.18.9,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.2.23,uk5-827d1a77961f619e1311,oshb,1Chr.2.23,1Chr.2.23,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.2.51,uk5-43f941cdae607c20a4bd,oshb,1Chr.2.51,1Chr.2.51,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,medium,resolved_by_locked_runtime_authority_contract,1Chr.2.52,uk5-253eb38c0782fbbba26c,oshb,1Chr.2.52,1Chr.2.52,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,medium,resolved_by_locked_runtime_authority_contract,1Chr.2.54,uk5-1d0968893fc77c8f87f7,oshb,1Chr.2.54,1Chr.2.54,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.23.6,uk5-b96b398a5631dfbfaf1a,oshb,1Chr.23.6,1Chr.23.6,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.25.9,uk5-61124b03ea2a6a417536,oshb,1Chr.25.9,1Chr.25.9,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.4.12,uk5-b847b8523a911dad3a98,oshb,1Chr.4.12,1Chr.4.12,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.4.20,uk5-98745d37c5da1c5c344d,oshb,1Chr.4.20,1Chr.4.20,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.4.22,uk5-3e32ce55756d83d396e7,oshb,1Chr.4.22,1Chr.4.22,locked runtime authority retained; raw secondary textual/segmentation variant recorded
strong_control_sequence_difference,low,resolved_by_locked_runtime_authority_contract,1Chr.4.28,uk5-ba5bd3c139b778e8d4ea,oshb,1Chr.4.28,1Chr.4.28,locked runtime authority retained; raw secondary textual/segmentation variant recorded
